hatchery,rel_group,mig_year,hat_release,pit_rel,pit_ral,ral_exp,rel_site
McCall,SFSR-Knox,2006,"1,094,264","51,895","34,489",31.2,KNOXB
McCall,SFSR-Knox,2007,"1,087,170","51,726","34,534",31.0,KNOXB
McCall,SFSR-Knox,2008,"1,060,540","51,678","36,239",28.8,KNOXB
Rapid River,Rapid R. Hat,2006,"2,530,528","96,975","34,537",71.5,RAPH
Rapid River,Rapid R. Hat,2007,"2,396,602","109,675","34,731",66.8,RAPH
Rapid River,Rapid R. Hat,2008,"2,493,719","117,587","102,074",24.3,RAPH
Dworshak,NF-DHFH,2006,"1,007,738","92,548","34,490",27.5,DWORNF
Dworshak,NF-DHFH,2007,"963,211","104,193","31,174",28.6,DWORNF
Dworshak,NF-DHFH,2008,"939,000","49,384","34,729",26.6,DWORNF
Clearwater Hat.,Powell,2006,"423,633","14,967","13,470",31.3,POWP
Clearwater Hat.,Powell,2007,"373,977","14,971","13,474",27.6,POWP
Clearwater Hat.,Powell,2008,"223,714","33,741","31,341",7.1,POWP
Clearwater Hat.,Red,2006,"423,603","14,973","13,476",31.3,REDR
Clearwater Hat.,Red,2007,"375,759","14,978","13,480",27.8,REDR
Clearwater Hat.,Red,2008,"424,719","11,985","10,805",39.2,REDR
Clearwater Hat.,Crooked,2006,"608,472","14,978","13,480",45.0,#N/A
Clearwater Hat.,Crooked,2007,"517,092","14,969","13,472",38.3,#N/A
Clearwater Hat.,Crooked,2008,"566,752","11,987","10,789",52.4,#N/A
Clearwater Hat.,Selway,2006,"209,842",0,0,0.0,SELWY1
Clearwater Hat.,Selway,2007,"179,432",0,0,0.0,SELWY1
Clearwater Hat.,Selway,2008,"205,659","8,974","8,095",25.3,SELWY1
Sawtooth,Weir,2007,"995,262","14,970","13,473",73.8,SAWT
Sawtooth,Weir,2008,"174,132","14,961","13,466",12.8,SAWT
Pahsimeroi,Ponds,2008,"1,037,772",14833,13350,77.6,PAHP
Kooskia,Clear Cr,2006,"630,000",800,0,0.0,CLEARC
Kooskia,Clear Cr,2007,"569,565","9,943","9,892",57.6,CLEARC
Kooskia,Clear Cr,2008,"649,601","9,935","9,900",65.6,CLEARC
Sawtooth,Weir,2006,"1,552,444",500,0,0.0,SAWT
Pahsimeroi,Ponds,2007,"978,463",498,0,0.0,PAHP
Pahsimeroi,Ponds,2006,"1,073,951",298,0,0.0,PAHP
McCall,SFSR-Knox,2009,"1,106,700","51,496","36,146",30.2,KNOXB
Rapid River,Rapid R. Hat,2009,"2,503,711","51,774","36,189",68.8,RAPH
Dworshak,NF-DHFH,2009,"1,014,748","51,599","36,245",27.6,DWORNF
Clearwater Hat.,Powell,2009,"404,115","11,985","9,019",44.5,POWP
Clearwater Hat.,Red,2009,"404,856","15,092","11,356",35.3,REDR
Clearwater Hat.,Crooked,2009,"703,101","15,089","11,354",61.6,#N/A
Clearwater Hat.,Selway,2009,"299,707","9,981","7,511",39.6,SELWY1
Clearwater Hat.,Clear Cr,2009,"234,151","11,556","8,696",26.6,CLEARC
Sawtooth,Weir,2009,"274,644","18,671","13,503",20.0,SAWT
Pahsimeroi,Ponds,2009,"870,842","18,750","13,500",64.1,PAHP
Kooskia,Clear Cr,2009,"603,679","11,580","9,910",60.7,CLEARC
McCall,SFSR-Knox,2010,"1,037,600","51,875","36,374",28.1,KNOXB
Rapid River,Rapid R. Hat,2010,"2,492,454","51,939","36,424",68.0,RAPH
Dworshak,NF-DHFH,2010,"1,109,195","51,880","36,378",30.1,DWORNF
Clearwater Hat.,Powell,2010,"413,158","18,182","12,728",32.0,POWP
Clearwater Hat.,Red,2010,"1,206,110","18,175","12,723",94.4,REDR
Clearwater Hat.,Selway / Ad clip,2010,"402,160","18,188","12,732",31.2,#N/A
Clearwater Hat.,Clear Cr,2010,"229,605","18,178","12,725",17.6,CLEARC
Sawtooth,Weir,2010,"1,455,634","16,939","11,877",122.1,SAWT
Sawtooth,Yankee Fork,2010,"398,444","4,344","3,047",130.3,YANKFK
Pahsimeroi,Ponds,2010,"1,169,701","21,379","14,965",77.7,PAHP
Kooskia,Clear Cr,2010,"632,330","14,543","13,791",45.8,CLEARC
McCall,SFSR-Knox,2011,"1,069,028","51,878","36,415",28.9,KNOXB
Rapid River,Rapid R. Hat,2011,"2,483,181","51,730","36,331",67.9,RAPH
Dworshak,NF-DHFH,2011,"1,078,250","51,915","36,407",29.2,DWORNF
Clearwater Hat.,Powell,2011,"413,757","17,089","11,965",34.2,POWP
Clearwater Hat.,Red,2011,"1,114,760","17,060","11,939",92.9,REDR
Clearwater Hat.,Selway / All,2011,"414,270","17,083","11,958",34.2,SELWY1
Clearwater Hat.,Clear Cr,2011,"291,604","17,095","11,966",23.9,CLEARC
Clearwater Hat.,Crooked R.,2011,"204,061","25,488","17,841",11.0,CROTRP
Sawtooth,Weir,2011,"1,337,302","18,968","13,277",100.3,SAWT
Sawtooth,Yankee Fork,2011,"397,877","2,397","1,678",236.7,YANKFK
Pahsimeroi,Ponds,2011,"1,030,028","21,131","14,797",69.2,PAHP
Kooskia,Clear Cr,2011,"657,267","13,932","12,969",50.6,CLEARC
NPTH,NPTH,2011,"251,625","6,244","5,946",42.3,#N/A
McCall,SFSR-Knox,2012,"787,088","25,955","18,237",42.7,KNOXB
Rapid River,Rapid R. Hat,2012,"2,498,197","51,938","36,431",68.1,RAPH
Dworshak,NF-DHFH,2012,"1,044,080","51,787","35,953",28.6,DWORNF
Clearwater Hat.,Powell,2012,"407,970","17,121","12,034",33.5,POWP
Clearwater Hat.,Red,2012,"1,122,939","17,045","11,953",93.5,REDR
Clearwater Hat.,Selway / All,2012,"415,369","16,978","11,889",34.5,SELWY1
Clearwater Hat.,Clear Cr,2012,"234,511","17,087","11,964",19.2,CLEARC
Clearwater Hat.,Crooked R.,2012,"206,317","25,482","17,846",11.1,CROTRP
Sawtooth,Weir,2012,"1,080,164","18,051","12,635",85.1,SAWT
Sawtooth,Yankee Fork,2012,"197,036","3,381","2,372",82.6,YANKFK
Pahsimeroi,Ponds,2012,"847,580","21,362","14,964",56.2,PAHP
Kooskia,Clear Cr,2012,"619,865","15,022","13,971",44.3,CLEARC
McCall (Seg),SFSR-Knox,2013,"821,001","27,952","18,152",44.7,KNOXB
Rapid River,Rapid R. Hat,2013,"2,497,668","51,899","36,370",68.2,RAPH
Dworshak,NF-DHFH,2013,"1,377,508","51,801","36,372",37.4,DWORNF
Clearwater Hat.,Powell,2013,"408,421","17,059","11,906",33.9,POWP
Clearwater Hat.,Red,2013,"1,085,486","16,850","11,856",91.1,REDR
Clearwater Hat.,Selway / All,2013,"293,663","17,063","12,004",24.0,SELWY1
Clearwater Hat.,Clear Cr,2013,"378,083","17,083","12,010",31.1,CLEARC
Clearwater Hat.,Crooked R.,2013,"208,447","25,451","17,825",11.3,CROTRP
Sawtooth,Weir,2013,"652,732","21,282","14,899",43.4,SAWT
Pahsimeroi,Ponds,2013,"838,664","21,393","14,975",55.6,PAHP
Kooskia,Clear Cr,2013,"630,308","14,237","12,781",49.2,KOOS
